player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,투구수,이닝,피안타,2루타,3루타,홈런,희생번트,희생플라이,볼넷,고의4구,삼진,폭투,보크,실점,자책점,블론세이브,이닝당 출루허용률,피안타율,퀄리티스타트
50030,30.0,소형준,KT,투수,2001-09-16,189,92,호암초(의정부리틀)-구리인창중-유신고,50030,3.3,26,0,0,10,7,1,0,0.588,617,2209,147.33333333333334,155,24,3,6,6,1,29,1,123,4,0,60,54,0,1.25,0.268,18
50036,11.0,이강준,키움,투수,2001-12-14,180,80,서당초-설악중-설악고-KT-롯데-키움-상무,50036,6.57,29,0,0,0,3,0,2,0.0,119,492,24.666666666666668,29,5,0,3,2,0,17,0,26,2,0,22,18,0,1.86,0.296,0
50106,54.0,유영찬,LG,투수,1997-03-07,185,90,덕성초(안산리틀)-배명중-배명고-건국대,50106,2.63,39,0,0,2,2,21,1,0.5,177,672,41.0,31,7,0,2,1,1,23,3,52,3,0,14,12,1,1.32,0.208,0
50206,40.0,최종인,두산,투수,2001-05-01,185,84,해강초-센텀중-부산고,50206,5.4,3,0,0,0,0,0,0,0.0,9,46,1.6666666666666667,1,0,0,0,0,0,3,0,5,2,0,1,1,0,2.4,0.167,0
50211,93.0,제환유,두산,투수,2000-09-30,183,76,둔산초-공주중-공주고,50211,4.96,6,0,0,0,1,0,0,0.0,78,304,16.333333333333332,17,1,0,2,1,1,12,1,8,0,0,10,9,0,1.78,0.27,0
50430,65.0,홍원표,삼성,투수,2001-03-27,183,86,신도초-부천중-부천고,50430,4.5,2,0,0,0,1,0,0,0.0,12,40,2.0,3,0,0,0,1,1,2,1,1,0,0,1,1,0,2.5,0.429,0
50441,61.0,황동재,삼성,투수,2001-11-03,191,97,율하초-경운중-경북고,50441,6.97,15,0,0,0,1,0,0,0.0,104,403,20.666666666666668,27,2,0,1,0,1,14,0,22,3,0,16,16,0,1.98,0.31,0
50464,28.0,이승민,삼성,투수,2000-08-26,174,79,본리초-경상중-대구고-삼성-상무,50464,3.78,62,0,0,3,2,0,8,0.6,280,1068,64.33333333333333,61,15,2,5,5,1,26,2,53,1,0,37,27,0,1.35,0.249,0
50556,56.0,최준용,롯데,투수,2001-10-10,185,85,부산수영초-대천중-경남고,50556,5.3,49,0,0,4,4,1,17,0.5,234,910,54.333333333333336,50,9,1,5,4,2,16,0,62,3,0,35,32,4,1.21,0.243,0
50596,38.0,홍민기,롯데,투수,2001-07-20,185,85,법동초-한밭중-대전고,50596,3.09,25,0,0,0,2,0,3,0.0,129,510,32.0,24,5,1,0,0,2,11,0,39,1,0,13,11,0,1.09,0.211,0
50604,4.0,유지성,KIA,투수,2000-11-15,189,94,수유초-자양중-북일고,50604,0.0,1,0,0,0,0,0,0,0.0,3,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
50641,38.0,장재혁,KIA,투수,2001-08-02,180,86,부산금강초-대신중-경남고,50641,6.0,3,0,0,0,0,0,0,0.0,13,63,3.0,3,0,0,1,0,0,3,0,2,0,0,2,2,0,2.0,0.3,0
50650,92.0,최용준,KT,투수,2001-12-19,192,105,양산신양초(양산구리틀)-경남중-부산공고-KIA,50650,2.0,7,0,0,1,0,0,0,1.0,39,128,9.0,13,1,0,0,0,0,2,1,5,0,0,2,2,0,1.67,0.351,0
50662,62.0,정해영,KIA,투수,2001-08-23,189,98,광주대성초-광주동성중-광주제일고,50662,3.79,60,0,0,3,7,27,0,0.3,275,1117,61.666666666666664,75,13,0,4,1,2,18,1,72,1,0,30,26,7,1.51,0.299,0
50705,39.0,강재민,한화,투수,1997-04-03,180,89,양덕초-마산중-용마고-단국대,50705,9.0,4,0,0,0,0,0,0,0.0,20,92,4.0,6,1,0,1,0,1,2,0,5,0,0,4,4,0,2.0,0.375,0
50711,14.0,김승일,한화,투수,2001-07-07,183,85,해강초(해운대리틀)-센텀중-경남고,50711,23.63,5,0,0,0,0,0,0,0.0,17,68,2.6666666666666665,3,0,0,1,0,0,3,0,3,1,0,7,7,0,2.25,0.273,0
50812,57.0,박시후,SSG,투수,2001-05-10,182,88,상인천초-상인천중-인천고-SK,50812,3.27,52,0,0,6,2,0,3,0.75,231,930,52.333333333333336,45,3,0,5,3,1,29,1,34,0,1,24,19,0,1.41,0.233,0
50848,56.0,김성민,SSG,투수,2001-04-30,184,88,서울학동초-자양중-경기고-SK,50848,0.0,2,0,0,1,0,0,0,1.0,4,22,0.6666666666666666,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3.0,0.0,0
50859,47.0,오원석,KT,투수,2001-04-23,182,80,수진초-매송중-야탑고-SK-SSG,50859,3.67,25,0,0,11,8,0,0,0.579,565,2187,132.33333333333334,130,25,1,10,7,4,52,1,113,5,0,60,54,0,1.38,0.261,12
50904,40.0,이종준,LG,투수,2001-03-09,191,93,군산중앙초-군산남중-군산상고,50904,0.0,2,0,0,0,0,0,0,0.0,6,33,1.6666666666666667,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.6,0.0,0
50992,11.0,김태경,NC,투수,2001-04-07,188,95,김해삼성초-내동중-용마고-NC-상무,50992,10.64,6,0,0,0,0,0,1,0.0,62,266,11.0,18,3,0,4,2,0,9,1,10,1,0,20,13,0,2.45,0.367,0
51058,59.0,한차현,KT,투수,1998-11-30,180,80,사능초(남양주리틀)-청원중-포항제철고-성균관대,51058,16.2,2,0,0,0,0,0,0,0.0,11,40,1.6666666666666667,4,0,0,0,0,0,2,0,1,1,0,3,3,0,3.6,0.444,0
51111,13.0,송승기,LG,투수,2002-04-10,181,90,삼일초-매향중-야탑고-LG-상무,51111,3.5,28,0,0,11,6,0,0,0.647,629,2523,144.0,149,25,1,15,5,4,49,0,125,2,0,61,56,0,1.38,0.261,10
51154,45.0,김진수,LG,투수,1998-08-31,179,82,이세초-군산중-군산상고-중앙대,51154,9.0,4,0,0,0,0,0,0,0.0,27,104,5.0,11,3,0,2,0,0,1,0,6,0,0,5,5,0,2.4,0.423,0
51264,28.0,최승용,두산,투수,2001-05-11,190,87,양오초-모가중-소래고,51264,4.41,23,0,0,5,7,0,0,0.417,507,1958,116.33333333333333,121,20,4,8,5,3,36,0,71,4,0,60,57,0,1.35,0.265,9
51454,57.0,이승현,삼성,투수,2002-05-19,183,102,남도초-경복중-대구상원고,51454,5.42,25,0,0,4,9,0,0,0.308,471,1840,101.33333333333333,121,23,2,10,7,3,46,0,74,2,0,64,61,0,1.65,0.298,2
51460,59.0,이재희,삼성,투수,2001-10-11,187,100,대전신흥초-한밭중-대전고-삼성-상무,51460,3.0,11,0,0,0,2,0,4,0.0,39,157,9.0,7,1,1,0,0,0,5,0,9,0,0,3,3,0,1.33,0.206,0
51516,15.0,김진욱,롯데,투수,2002-07-05,185,90,수원신곡초-춘천중-강릉고,51516,10.0,14,0,0,1,3,0,0,0.25,136,544,27.0,42,6,0,10,2,1,16,0,24,0,0,32,30,2,2.15,0.365,1
